process_id,phase,step_order,formal_step,primary_actor,secondary_actors,formal_objective,inputs,outputs,business_rules,required_validations,critical_dependencies,si_support,traceability_expected,risk_if_missing
BO-F-011,Hospitalisation,11,Affectation du lit,Hospitalisation,Administration,Installer le patient,Disponibilité lit,Lit affecté,Un lit disponible et conforme est requis,Validation affectation,Gestion lits,SIH hospitalisation,Horodatage affectation,Retard de prise en charge
BO-F-012,Hospitalisation,12,Évaluation initiale,Infirmier,Médecin,Évaluer l'état du patient à l'entrée,"Dossier, constantes, antécédents",Évaluation documentée,Évaluation préalable à tout soin programmé,Validation clinique,Disponibilité personnel,SIH soins,"Constantes, observations",Risque clinique non détecté
BO-F-013,Hospitalisation,13,Constitution / alimentation du dossier d'hospitalisation,Médecin,Infirmier,Centraliser les informations du séjour,"Évaluation initiale, prescriptions, observations",Dossier d'hospitalisation à jour,Toute action doit être tracée,Validation médicale et paramédicale,Disponibilité SIH,SIH dossier patient,"Prescriptions, observations, CR actes",Perte d'information
BO-F-014,Hospitalisation,14,Prescriptions médicales,Médecin,"Pharmacie, infirmier",Définir les actes et médicaments,"Évaluation, protocole, examens",Prescriptions actives,Prescription nécessaire avant administration,Validation médicale,Disponibilité médecin,SIH prescription,Ordonnances / prescriptions,Erreur thérapeutique
BO-F-015,Hospitalisation,15,Passation de consignes et traçabilité des administrations,Infirmier,Médecin,Assurer continuité des soins,"Prescriptions, observations",Consignes et administrations tracées,Toute administration doit être tracée,Validation infirmière,Disponibilité personnel,SIH soins,"Administrations, transmissions ciblées",Rupture de continuité
BO-F-016,Support,16,Examens biologie / imagerie / anatpath si nécessaire,Médecin,"Biologie, imagerie, anatpath",Obtenir les éléments de décision,Prescription examens,Résultats disponibles,Examens selon prescription et délai requis,Validation résultat / médecin,Interfaces labo/imagerie,SIH + systèmes tiers,Résultats examinés,Décision sur information incomplète
BO-F-017,Pharmacie,17,Ordonnance médicaments puis dispensation,Médecin,"Pharmacie, infirmier",Mettre à disposition les traitements,Prescription médicale,Médicaments dispensés,Dispensation sur prescription validée,Validation pharmacie,"Stock, prescription",SIH pharmacie,Trace dispensation,Retard traitement
BO-F-018,Bloc opératoire,18,Entrée en bloc opératoire,Bloc opératoire,"Hospitalisation, brancardage",Prendre en charge le patient au bloc,"Patient préparé, identité vérifiée",Patient admis en BO,Entrée conditionnée à la programmation et identité,Check pré-bloc,Disponibilité salle et équipe,SIH bloc,Heure entrée bloc,Retard ou erreur patient
BO-F-019,Bloc opératoire,19,Anesthésie,Anesthésiste,Bloc opératoire,Préparer l'intervention,"Dossier anesthésie, patient préparé",Patient anesthésié,Procédure selon protocole validé,Validation anesthésiste,Disponibilité équipe anesthésie,SIH bloc / anesthésie,Trace anesthésie,Risque patient majeur
BO-F-020,Bloc opératoire,20,Incision / intervention,Chirurgien,"Anesthésiste, IBODE, équipe bloc",Réaliser l'acte opératoire,"Patient anesthésié, matériel, check-list",Acte réalisé,Intervention selon indication validée,Validation peropératoire,"Salle, équipe, matériel",SIH bloc,Compte rendu opératoire,Complication ou non-conformité
BO-F-021,Bloc opératoire,21,Sortie patient / fin intervention,Bloc opératoire,Hospitalisation,Clore la séquence opératoire,Acte terminé,Patient transféré hors bloc,Fin intervention tracée avant transfert,Validation de fin d'intervention,Disponibilité unité / SSPI selon orga,SIH bloc,Heure fin intervention,Rupture de traçabilité
BO-F-022,Sortie,22,Validation des relevés des actes et du CRH,Médecin,Administration,Fiabiliser dossier et facturation,"Actes réalisés, compte rendu",Actes validés,Pas de clôture sans validation des actes,Validation médicale,Disponibilité médecin,SIH dossier / facturation,"Actes validés, CRH",Facturation incomplète
BO-F-023,Sortie,23,Attribution du rendez-vous de contrôle,Hospitalisation,Administration,Organiser le suivi post-opératoire,Validation sortie,RDV de contrôle fixé,RDV si requis par protocole,Validation médicale,Agenda consultation,SIH agenda,RDV de contrôle,Perte de suivi
BO-F-024,Sortie,24,Ordonnances de sortie,Médecin,Patient,Sécuriser la sortie et la continuité des soins,Décision de sortie,Ordonnances remises,Ordonnance conforme à la prise en charge,Validation médicale,Disponibilité médecin,SIH prescription,Ordonnances éditées,Mauvaise continuité post-hospitalisation
BO-F-025,Sortie,25,Sortie médicale du patient,Médecin,Infirmier,Autoriser la fin de prise en charge clinique,"État clinique, dossier à jour",Sortie médicale prononcée,Sortie après décision médicale,Validation médicale,Évaluation clinique finale,SIH dossier,Date/heure de sortie médicale,Sortie prématurée
BO-F-026,Clôture administrative,26,Facturation,Administration,Comptabilité,Produire la facture du séjour,"Actes validés, séjour clôturé",Facture émise,Facture fondée sur actes validés,Validation administrative,Données actes fiables,SIH facturation,Facture,Perte de recette
BO-F-027,Clôture administrative,27,Encaissement,Comptabilité,Patient,Encaisser le reste à charge ou avance,"Facture, garanties",Paiement enregistré,Encaissement selon règles comptables,Validation comptable,Disponibilité caisse / mode paiement,SIH comptable,Trace d'encaissement,Impayé
BO-F-028,Clôture administrative,28,Sortie patient,Administration,Patient,Clôturer administrativement le parcours,"Sortie médicale, facturation",Séjour clos,Séjour clos après validations nécessaires,Validation sortie administrative,Dossier complet,SIH admissions / facturation,Date/heure sortie administrative,Séjour mal clôturé
